,start_station_id,start_station_name,start_station_latitude,start_station_longitude,count_rides,postal_code
0,523,W 38 St & 8 Ave,40.75466591,-73.99138152,28,10018
5730,488,W 39 St & 9 Ave,40.75645824,-73.99372222,28,10018
17455,485,W 37 St & 5 Ave,40.75038009,-73.98338988,27,10018
20245,477,W 41 St & 8 Ave,40.75640548,-73.9900262,28,10018
28163,448,W 37 St & 10 Ave,40.75660359,-73.9979009,28,10018
30517,362,Broadway & W 37 St,40.75172632,-73.98753523,28,10018
30626,267,Broadway & W 36 St,40.75097711,-73.98765428,27,10018
40286,533,Broadway & W 39 St,40.75299641,-73.98721619,26,10018
218,257,Lispenard St & Broadway,40.71939226,-74.00247214,28,10013
6126,249,Harrison St & Hudson St,40.71870987,-74.0090009,27,10013
7040,426,West St & Chambers St,40.71754834,-74.01322069,28,10013
17822,329,Greenwich St & N Moore St,40.72043411,-74.01020609,28,10013
23054,355,Bayard St & Baxter St,40.71602118,-73.99974372,28,10013
32831,248,Laight St & Hudson St,40.72185379,-74.00771779,19,10013
35584,320,Church St & Leonard St,40.71743998,-74.00583475,27,10013
36144,79,Franklin St & W Broadway,40.71911552,-74.00666661,26,10013
37120,146,Hudson St & Reade St,40.71625008,-74.0091059,28,10013
39688,268,Howard St & Centre St,40.71910537,-73.99973337,28,10013
39890,328,Watts St & Greenwich St,40.72405549,-74.00965965,28,10013
40426,276,Duane St & Greenwich St,40.71748752,-74.0104554,27,10013
42375,2004,6 Ave & Broome St,40.724399,-74.004704,11,10013
42932,263,Elizabeth St & Hester St,40.71729,-73.996375,28,10013
43099,2010,Grand St & Greene St,40.72165481,-74.00234737,26,10013
43976,377,6 Ave & Canal St,40.72243797,-74.00566443,27,10013
330,479,9 Ave & W 45 St,40.76019252,-73.9912551,28,10036
7718,478,11 Ave & W 41 St,40.76030096,-73.99884222,28,10036
11514,495,W 47 St & 10 Ave,40.76269882,-73.99301222,28,10036
19633,515,W 43 St & 10 Ave,40.76009437,-73.99461843,28,10036
21020,508,W 46 St & 11 Ave,40.76341379,-73.99667444,28,10036
22583,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,28,10036
25819,524,W 43 St & 6 Ave,40.75527307,-73.98316936,27,10036
32025,493,W 45 St & 6 Ave,40.7568001,-73.98291153,26,10036
39543,529,W 42 St & 8 Ave,40.7575699,-73.99098507,28,10036
41641,465,Broadway & W 41 St,40.75513557,-73.98658032,28,10036
45614,484,W 44 St & 5 Ave,40.75500254,-73.98014437,28,10036
543,527,E 33 St & 1 Ave,40.74315566,-73.97434726,28,10016
2963,546,E 30 St & Park Ave S,40.74444921,-73.98303529,27,10016
3131,167,E 39 St & 3 Ave,40.7489006,-73.97604882,28,10016
4772,526,E 33 St & 5 Ave,40.74765947,-73.98490707,27,10016
6215,153,E 40 St & 5 Ave,40.752062307,-73.9816324043,28,10016
12845,472,E 32 St & Park Ave,40.7457121,-73.98194829,28,10016
13350,476,E 31 St & 3 Ave,40.74394314,-73.97966069,28,10016
21741,174,E 25 St & 1 Ave,40.7381765,-73.97738662,27,10016
23799,518,E 39 St & 2 Ave,40.74780373,-73.9734419,28,10016
29030,536,1 Ave & E 30 St,40.74144387,-73.97536082,27,10016
29878,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,28,10016
32870,474,5 Ave & E 29 St,40.7451677,-73.98683077,28,10016
34427,2012,E 27 St & 1 Ave,40.739445,-73.976806,26,10016
34629,501,FDR Drive & E 35 St,40.744219,-73.97121214,28,10016
37239,528,2 Ave & E 31 St,40.74290902,-73.97706058,28,10016
44510,160,E 37 St & Lexington Ave,40.748238,-73.978311,27,10016
733,521,8 Ave & W 31 St,40.75044999,-73.99481051,28,10001
1923,446,W 24 St & 7 Ave,40.74487634,-73.99529885,28,10001
2730,388,W 26 St & 10 Ave,40.749717753,-74.002950346,28,10001
3718,505,6 Ave & W 33 St,40.74901271,-73.98848395,28,10001
3923,512,W 29 St & 9 Ave,40.7500727,-73.99839279,28,10001
8826,458,11 Ave & W 27 St,40.751396,-74.005226,27,10001
9201,379,W 31 St & 7 Ave,40.749156,-73.9916,28,10001
11107,490,8 Ave & W 33 St,40.751551,-73.993934,28,10001
13790,442,W 27 St & 7 Ave,40.746647,-73.993915,28,10001
16418,492,W 33 St & 7 Ave,40.75019995,-73.99093085,28,10001
21953,498,Broadway & W 32 St,40.74854862,-73.98808416,28,10001
23637,489,10 Ave & W 28 St,40.75066386,-74.00176802,28,10001
24075,486,Broadway & W 29 St,40.7462009,-73.98855723,28,10001
24782,494,W 26 St & 8 Ave,40.74734825,-73.99723551,28,10001
45232,525,W 34 St & 11 Ave,40.75594159,-74.0021163,24,10001
1122,293,Lafayette St & E 8 St,40.73028666,-73.9907647,28,10003
4907,503,E 20 St & Park Ave,40.73827428,-73.98751968,25,10003
6614,428,E 3 St & 1 Ave,40.72467721,-73.98783413,27,10003
8167,496,E 16 St & 5 Ave,40.73726186,-73.99238967,27,10003
15420,285,Broadway & E 14 St,40.73454567,-73.99074142,28,10003
16068,280,E 10 St & 5 Ave,40.73331967,-73.99510132,28,10003
17043,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,27,10003
19449,483,E 12 St & 3 Ave,40.73223272,-73.98889957,28,10003
20784,294,Washington Square E,40.73049393,-73.9957214,28,10003
22393,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,27,10003
25498,326,E 11 St & 1 Ave,40.72953837,-73.98426726,28,10003
28498,357,E 11 St & Broadway,40.73261787,-73.99158043,28,10003
28626,475,E 16 St & Irving Pl,40.73524276,-73.98758561,28,10003
33475,439,E 4 St & 2 Ave,40.7262807,-73.98978041,28,10003
33986,382,University Pl & E 14 St,40.73492695,-73.99200509,28,10003
34942,461,E 20 St & 2 Ave,40.73587678,-73.98205027,28,10003
37485,297,E 15 St & 3 Ave,40.734232,-73.986923,28,10003
38422,497,E 17 St & Broadway,40.73704984,-73.99009296,28,10003
39040,335,Washington Pl & Broadway,40.72903917,-73.99404649,28,10003
40058,237,E 11 St & 2 Ave,40.73047309,-73.98672378,28,10003
41166,300,Shevchenko Pl & E 6 St,40.728145,-73.990214,25,10003
41387,403,E 2 St & 2 Ave,40.72502876,-73.99069656,27,10003
43289,325,E 19 St & 3 Ave,40.73624527,-73.98473765,28,10003
1593,346,Bank St & Hudson St,40.73652889,-74.00618026,28,10014
3313,404,9 Ave & W 14 St,40.7405826,-74.00550867,28,10014
4123,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,28,10014
10644,128,MacDougal St & Prince St,40.72710258,-74.00297088,28,10014
11787,358,Christopher St & Greenwich St,40.73291553,-74.00711384,28,10014
14234,368,Carmine St & 6 Ave,40.73038599,-74.00214988,28,10014
15803,127,Barrow St & Hudson St,40.73172428,-74.00674436,28,10014
18647,347,W Houston St & Hudson St,40.72873888,-74.00748842,28,10014
27295,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,28,10014
28822,247,Perry St & Bleecker St,40.73535398,-74.00483091,27,10014
30316,405,Washington St & Gansevoort St,40.739323,-74.008119,28,10014
37914,225,W 14 St & The High Line,40.74195138,-74.00803013,28,10014
39401,238,Bank St & Washington St,40.7361967,-74.00859207,28,10014
1760,510,W 51 St & 6 Ave,40.7606597,-73.98042047,28,10019
2153,457,Broadway & W 58 St,40.76695317,-73.98169333,28,10019
5213,469,Broadway & W 53 St,40.76344058,-73.98268129,27,10019
5979,422,W 59 St & 10 Ave,40.770513,-73.988038,27,10019
6408,468,Broadway & W 55 St,40.7652654,-73.98192338,28,10019
8718,449,W 52 St & 9 Ave,40.76461837,-73.98789473,28,10019
14827,514,12 Ave & W 40 St,40.76087502,-74.00277668,28,10019
16220,450,W 49 St & 8 Ave,40.76227205,-73.98788205,27,10019
24955,447,8 Ave & W 52 St,40.76370739,-73.9851615,28,10019
29669,480,W 53 St & 10 Ave,40.76669671,-73.99061728,28,10019
32167,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,28,10019
32408,352,W 56 St & 6 Ave,40.76340613,-73.97722479,28,10019
36927,173,Broadway & W 49 St,40.76064679,-73.98442659,28,10019
42075,513,W 56 St & 10 Ave,40.768254,-73.988639,26,10019
42521,500,Broadway & W 51 St,40.76228826,-73.98336183,28,10019
44359,72,W 52 St & 11 Ave,40.76727216,-73.99392888,27,10019
44671,520,W 52 St & 5 Ave,40.75992262,-73.97648516,26,10019
45522,423,W 54 St & 9 Ave,40.76584941,-73.98690506,23,10019
2424,251,Mott St & Prince St,40.72317958,-73.99480012,28,10012
7498,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,28,10012
10644,128,MacDougal St & Prince St,40.72710258,-74.00297088,28,10012
15161,303,Mercer St & Spring St,40.72362738,-73.99949601,28,10012
20591,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,28,10012
22177,375,Mercer St & Bleecker St,40.72679454,-73.99695094,28,10012
25249,348,W Broadway & Spring St,40.72490985,-74.00154702,28,10012
27835,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,28,10012
33698,250,Lafayette St & Jersey St,40.72456089,-73.99565293,27,10012
42681,229,Great Jones St,40.72743423,-73.99379025,26,10012
