,bike_id,weekday,start_hour,start_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_time,end_station_id,end_station_name,end_station_latitude,end_station_longitude,trip_duration,subscriber,birth_year,gender,gender_category,trip_duration_min,start_year,start_month,start_week,start_day,end_year,end_month,end_week,end_day,end_hour,days_category,peak_hours,avg_trip_duration_each_hour,day_of_week,hours_category
17308,15782,Mon,0,2013-09-02 00:03:41,488,W 39 St & 9 Ave,40.75645824,-73.99372222,2013-09-02 00:09:58,509,9 Ave & W 22 St,40.7454973,-74.00197139,377,Subscriber,1986.0,1,Male,6,2013,9,36,2,2013,9,36,2,0,Weekdays,Normal hours,13.1,2,0am - 5am
17343,16344,Thu,1,2013-09-12 01:17:28,433,E 13 St & Avenue A,40.72955361,-73.98057249,2013-09-12 01:24:07,439,E 4 St & 2 Ave,40.7262807,-73.98978041,399,Subscriber,1983.0,1,Male,6,2013,9,37,12,2013,9,37,12,1,Weekdays,Normal hours,13.1,5,0am - 5am
17445,17692,Tue,0,2013-09-17 00:11:01,306,Cliff St & Fulton St,40.70823502,-74.00530063,2013-09-17 00:16:21,534,Water - Whitehall Plaza,40.70255065,-74.0127234,320,Subscriber,1955.0,1,Male,5,2013,9,38,17,2013,9,38,17,0,Weekdays,Normal hours,13.1,3,0am - 5am
17450,17201,Thu,5,2013-09-05 05:11:55,461,E 20 St & 2 Ave,40.73587678,-73.98205027,2013-09-05 05:18:23,444,Broadway & W 24 St,40.7423543,-73.98915076,388,Subscriber,1990.0,1,Male,6,2013,9,36,5,2013,9,36,5,5,Weekdays,Normal hours,10.2,5,0am - 5am
17480,19483,Thu,0,2013-09-05 00:47:30,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,2013-09-05 01:07:00,306,Cliff St & Fulton St,40.70823502,-74.00530063,1170,Subscriber,1988.0,2,Female,19,2013,9,36,5,2013,9,36,5,1,Weekdays,Normal hours,13.1,5,0am - 5am
17499,15880,Sun,4,2013-09-08 04:23:13,146,Hudson St & Reade St,40.71625008,-74.0091059,2013-09-08 04:30:26,351,Front St & Maiden Ln,40.70530954,-74.00612572,433,Subscriber,1976.0,1,Male,7,2013,9,36,8,2013,9,36,8,4,Weekend,Normal hours,11.6,1,0am - 5am
17510,14965,Thu,5,2013-09-26 05:56:41,2017,E 43 St & 2 Ave,40.75022392,-73.97121414,2013-09-26 06:20:57,459,W 20 St & 11 Ave,40.746745,-74.007756,1456,Subscriber,1951.0,1,Male,24,2013,9,39,26,2013,9,39,26,6,Weekdays,Normal hours,10.2,5,0am - 5am
17535,20352,Wed,5,2013-09-04 05:51:44,237,E 11 St & 2 Ave,40.73047309,-73.98672378,2013-09-04 05:55:57,497,E 17 St & Broadway,40.73704984,-73.99009296,253,Subscriber,1983.0,1,Male,4,2013,9,36,4,2013,9,36,4,5,Weekdays,Normal hours,10.2,4,0am - 5am
17564,19765,Mon,5,2013-09-09 05:42:58,382,University Pl & E 14 St,40.73492695,-73.99200509,2013-09-09 06:10:47,391,Clark St & Henry St,40.69760127,-73.99344559,1669,Non-Subscriber,,0,Unknown,27,2013,9,37,9,2013,9,37,9,6,Weekdays,Normal hours,10.2,2,0am - 5am
17581,16009,Sat,0,2013-09-14 00:01:25,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,2013-09-14 00:11:16,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,591,Subscriber,1986.0,1,Male,9,2013,9,37,14,2013,9,37,14,0,Weekend,Normal hours,13.1,7,0am - 5am
