,start_hour,ride_count,avg_duration,avg_age,clusters
0,0,391,11.933503836317136,1979.3631713554987,1
1,1,244,11.135245901639344,1979.2254098360656,1
2,2,138,10.615942028985508,1978.427536231884,1
3,3,87,10.954022988505747,1981.4827586206898,1
4,4,70,10.5,1974.4857142857143,1
5,5,179,9.564245810055866,1975.4245810055866,1
6,6,843,10.28944246737841,1974.6310794780545,1
7,7,1883,11.587891662241105,1973.9091874668084,0
8,8,2944,12.119225543478262,1974.9514266304348,2
9,9,2434,11.702136400986031,1974.8196384552177,2
10,10,1691,11.958013010053223,1974.7468953282082,0
11,11,1694,12.18417945690673,1974.7089728453366,0
12,12,2194,11.666362807657247,1975.09161349134,2
13,13,2238,11.938784629133155,1974.8811438784628,2
14,14,2223,12.47953216374269,1975.1165092217723,2
15,15,2260,12.65,1974.9460176991151,2
16,16,2817,13.088746893858715,1974.7138800141995,2
17,17,4117,13.18362885596308,1975.2635414136507,3
18,18,3983,13.32387647501883,1976.4215415515944,3
19,19,2728,12.550953079178885,1977.1022727272727,2
20,20,1800,12.471666666666666,1978.4016666666666,0
21,21,1287,12.468531468531468,1978.1344211344212,0
22,22,1100,11.9,1978.4281818181819,0
23,23,765,11.677124183006535,1978.7490196078431,1
